Relative Time (ms),Temperature (C),Humidity (%),Pressure (hPa),Next Hour Temperature (C)
379112,8.52,22.55,1002.9,7.1
389112,8.51,22.42,1003,7.07
399112,8.48,22.32,1002.9,7.1
409112,8.5,22.34,1003,7.13
419112,8.51,22.52,1003,7.11
429112,8.5,21.94,1002.9,7.11
439112,8.51,21.85,1003,7.13
449112,8.5,22.1,1003,7.14
459112,8.52,22.95,1003,7.15
469112,8.5,22.1,1003,7.18
479112,8.48,21.92,1002.9,7.18
489112,8.45,22.01,1003,7.21
499112,8.45,22.05,1003,7.22
509112,8.48,24.71,1003,7.18
519112,8.5,23.18,1003,7.17
529112,8.55,23.35,1003,7.19
539112,8.62,23.19,1003,7.19
549112,8.68,23.94,1003,7.19
559112,8.74,22.72,1003,7.18
569112,8.79,24.19,1003,7.17
579112,8.83,24.57,1003,7.17
589112,8.88,22.97,1003,7.18
599112,8.86,22.92,1003,7.13
609112,8.79,22.1,1003,7.08
619112,8.72,21.85,1003,7.07
629112,8.68,21.96,1003,7.08
639112,8.64,21.87,1003,7.07
649112,8.64,22.03,1003,7.06
659112,8.68,22.74,1003,7.07
669112,8.72,22.3,1002.9,7
679112,8.72,21.92,1003,6.97
689112,8.71,21.79,1002.9,6.92
699112,8.71,21.75,1003,6.92
709112,8.72,22.61,1003,6.93
719112,8.7,23.09,1003,6.95
729112,8.67,23.06,1003,6.97
739112,8.68,22.85,1003,7
749112,8.67,22.83,1003,7.01
759112,8.62,22.64,1002.9,7.01
769112,8.54,22.68,1003,6.96
779112,8.51,22.8,1003,6.89
789112,8.47,22.77,1003,6.85
799112,8.41,22.81,1003,6.83
809112,8.39,22.54,1003,6.83
819112,8.34,22.21,1002.9,6.88
829112,8.32,21.99,1003,6.9
839112,8.3,22.06,1003,6.9
849112,8.29,22.1,1003,6.9
859112,8.3,21.94,1003,6.9
869112,8.29,21.96,1003,6.9
879112,8.25,21.79,1003,6.9
889112,8.23,21.89,1003,6.92
899112,8.26,21.99,1003,6.92
909112,8.22,22.88,1003,6.88
919112,8.22,22.72,1003,6.79
929112,8.22,22.42,1003,6.74
939112,8.22,22.18,1003,6.67
949112,8.23,22.1,1003,6.68
959112,8.21,22.1,1003,6.68
969112,8.22,22.21,1003,6.68
979112,8.21,22.26,1003,6.66
989112,8.25,22.28,1003,6.56
999112,8.23,22.45,1003,6.53
1009112,8.22,22.1,1003,6.52
1019112,8.19,22.1,1003,6.49
1029112,8.18,22.59,1003,6.48
1039112,8.15,22.21,1003.1,6.51
1049112,8.14,22.62,1003,6.52
1059112,8.11,22.23,1003,6.56
1069112,8.12,22.21,1003,6.56
1079112,8.12,22.29,1003,6.58
1089112,8.14,22.13,1003,6.61
1099112,8.14,22.15,1003,6.6
1109112,8.15,22.19,1003,6.53
1119112,8.16,22.19,1003,6.51
1129112,8.16,22.1,1003,6.49
1139112,8.16,22.15,1003,6.48
1149112,8.14,22.77,1003,6.49
1159112,8.11,22.89,1003,6.51
1169112,8.14,22.69,1003,6.51
1179112,8.18,22.92,1003,6.48
1189112,8.18,23.09,1003,6.51
1199112,8.19,22.92,1003,6.51
1209112,8.18,22.61,1003,6.55
1219112,8.16,22.31,1003,6.56
1229112,8.18,22.31,1003,6.6
1239112,8.19,22.56,1003,6.61
1249112,8.23,22.85,1003,6.63
1259112,8.25,23.21,1003,6.61
1269112,8.27,23.11,1003,6.58
1279112,8.27,22.75,1003,6.61
1289112,8.29,23.35,1003,6.58
1299112,8.3,23.68,1003,6.61
1309112,8.3,22.92,1003,6.58
1319112,8.29,23.18,1003,6.53
1329112,8.3,22.95,1003,6.49
1339112,8.29,22.64,1003,6.45
1349112,8.26,22.61,1003,6.42
1359112,8.23,22.61,1003,6.36
1369112,8.19,22.76,1003,6.26
1379112,8.16,22.92,1003,6.2
1389112,8.09,23.3,1003,6.16
1399112,8.09,23.03,1003,6.15
1409112,8.05,23.17,1003,6.18
1419112,8.05,23.09,1002.9,6.19
1429112,8.01,23.05,1003,6.2
1439112,7.98,23.14,1002.9,6.18
1449112,7.96,23.11,1002.9,6.16
1459112,7.94,23.14,1002.9,6.16
1469112,7.94,23.27,1002.9,6.19
1479112,7.94,23.53,1002.9,6.2
1489112,7.94,23.56,1002.9,6.23
1499112,7.93,23.61,1002.9,6.24
1509112,7.91,23.87,1002.9,6.27
1519112,7.93,23.46,1002.9,6.27
1529112,7.94,23.85,1002.9,6.31
1539112,7.91,23.92,1002.9,6.31
1549112,7.85,23.74,1002.9,6.36
1559112,7.86,24.03,1002.9,6.34
1569112,7.85,23.7,1002.9,6.33
1579112,7.88,23.67,1002.9,6.31
1589112,7.88,23.66,1002.9,6.27
1599112,7.85,23.65,1002.9,6.24
1609112,7.84,23.43,1002.9,6.26
1619112,7.84,23.26,1002.9,6.29
1629112,7.81,23.58,1002.9,6.33
1639112,7.74,23.51,1002.9,6.37
1649112,7.73,23.65,1002.9,6.36
1659112,7.73,23.92,1002.9,6.33
1669112,7.71,23.58,1002.9,6.29
1679112,7.74,23.4,1002.9,6.27
1689112,7.74,23.64,1002.9,6.27
1699112,7.73,24.79,1003,6.3
1709112,7.71,24.18,1002.9,6.33
1719112,7.68,23.67,1003,6.33
1729112,7.7,23.5,1002.9,6.34
1739112,7.71,23.61,1003,6.36
1749112,7.73,23.5,1002.9,6.37
1759112,7.71,23.67,1002.9,6.38
1769112,7.74,23.68,1003,6.38
1779112,7.79,23.82,1003,6.36
1789112,7.81,23.53,1003,6.36
1799112,7.79,23.91,1003,6.36
1809112,7.78,23.45,1003,6.34
1819112,7.77,23.56,1003,6.33
1829112,7.74,23.58,1003,6.27
1839112,7.74,23.69,1003,6.19
1849112,7.78,24.07,1003,6.15
1859112,7.77,23.74,1003,6.13
1869112,7.79,23.55,1003,6.13
1879112,7.84,23.8,1003,6.11
1889112,7.86,23.87,1003,6.08
1899112,7.94,23.82,1003,6.06
1909112,7.96,23.75,1003,6.05
1919112,7.98,23.79,1003,6.05
1929112,7.97,23.78,1003,6.05
1939112,8,23.66,1003.1,6.06
1949112,7.98,23.43,1003.1,6.09
1959112,7.97,23.37,1003.1,6.12
1969112,7.94,23.17,1003,6.09
1979112,7.89,23.28,1003,6.08
1989112,7.94,23.66,1003,6.05
1999112,7.96,23.55,1003.1,6.01
2009112,7.93,23.44,1003,5.98
2019112,7.91,23.47,1003,5.95
2029112,7.91,23.49,1003,5.95
2039112,7.86,23.85,1003.1,5.98
2049112,7.77,24.19,1003,5.98
2059112,7.67,24.43,1003.1,5.97
2069112,7.64,24.07,1003.1,5.92
2079112,7.63,24.01,1003,5.9
2089112,7.62,24.62,1003,5.89
2099112,7.66,24.26,1003,5.88
2109112,7.68,24.18,1003,5.9
2119112,7.68,24.14,1003,5.95
2129112,7.71,24.01,1003,5.98
2139112,7.74,23.92,1003.1,6.01
2149112,7.75,23.68,1003,6.01
2159112,7.78,23.68,1003,6.02
2169112,7.74,23.8,1003,6.04
2179112,7.67,24.43,1003.1,6.05
2189112,7.57,24.48,1003,6.05
2199112,7.52,24.36,1003.1,6.02
2209112,7.49,23.93,1003.1,6
2219112,7.5,24.1,1003,5.95
2229112,7.5,23.87,1003,5.92
2239112,7.53,23.82,1003.1,5.97
2249112,7.52,24.54,1003.1,6
2259112,7.52,24.09,1003.1,6.01
2269112,7.5,24.05,1003.1,6.02
2279112,7.5,24.07,1003.1,6.02
2289112,7.53,23.9,1003.1,6.04
2299112,7.56,23.64,1003.1,6.04
2309112,7.52,23.65,1003.1,6.08
2319112,7.5,24.07,1003,6.08
2329112,7.49,24.28,1003,6.11
2339112,7.52,23.58,1003,6.13
2349112,7.55,23.4,1003.1,6.11
2359112,7.59,23.4,1003.1,6.11
2369112,7.6,23.32,1003.1,6.08
2379112,7.63,23.32,1003.1,6.08
2389112,7.63,23.35,1003.1,6.08
2399112,7.66,23.28,1003,6.12
2409112,7.63,24.14,1003.1,6.12
2419112,7.62,23.75,1003.1,6.12
2429112,7.63,23.64,1003.1,6.15
2439112,7.68,24.08,1003.1,6.19
2449112,7.74,24.56,1003,6.18
2459112,7.78,23.61,1003.1,6.16
2469112,7.81,23.47,1003,6.18
2479112,7.82,23.34,1003.1,6.22
2489112,7.82,23.34,1003.1,6.26
2499112,7.85,23.43,1003,6.29
2509112,7.86,23.35,1003.1,6.31
2519112,7.89,23.35,1003.1,6.31
2529112,7.91,23.31,1003,6.33
2539112,7.96,23.31,1003.1,6.3
2549112,7.94,23.43,1003,6.3
2559112,7.88,23.13,1003.1,6.29
2569112,7.84,23.03,1003.1,6.3
2579112,7.82,23.73,1003.1,6.31
2589112,7.79,24.13,1003.1,6.33
2599112,7.78,24.07,1003.1,6.33
2609112,7.75,23.61,1003.1,6.33
2619112,7.78,23.47,1003.1,6.34
2629112,7.81,23.37,1003.1,6.3
2639112,7.79,23.4,1003.1,6.27
2649112,7.75,22.88,1003.1,6.26
2659112,7.71,23.14,1003.1,6.24
2669112,7.67,23.14,1003.1,6.26
2679112,7.66,23.17,1003.1,6.27
2689112,7.62,23.13,1003.1,6.26
2699112,7.63,23.2,1003.1,6.2
2709112,7.62,23.47,1003,6.13
2719112,7.62,23.3,1003.1,6.11
2729112,7.63,23.47,1003.1,6.13
2739112,7.66,23.51,1003.1,6.13
2749112,7.63,23.3,1003.1,6.13
2759112,7.64,23.17,1003.1,6.12
2769112,7.67,23.13,1003.1,6.15
2779112,7.68,23.25,1003.1,6.15
2789112,7.68,23.32,1003.1,6.15
2799112,7.71,23.27,1003.1,6.19
2809112,7.75,23.4,1003.1,6.19
2819112,7.78,23.26,1003.1,6.2
2829112,7.81,23.01,1003.1,6.22
2839112,7.84,23.56,1003.1,6.23
2849112,7.84,23.44,1003.1,6.2
2859112,7.86,23.56,1003.1,6.18
2869112,7.85,23.65,1003.1,6.15
2879112,7.82,24.51,1003.2,6.11
2889112,7.84,24.28,1003.1,6.06
2899112,7.84,23.93,1003.1,6.06
2909112,7.86,23.87,1003.1,6.05
2919112,7.84,23.52,1003.1,6.08
2929112,7.79,23.35,1003.1,6.06
2939112,7.75,24.24,1003.1,6.05
2949112,7.74,24.06,1003.1,6.05
2959112,7.71,23.31,1003.1,6.05
2969112,7.68,23.73,1003.2,6.01
2979112,7.62,23.82,1003.1,5.98
2989112,7.59,23.7,1003.1,5.95
2999112,7.57,23.62,1003.1,5.93
3009112,7.57,23.46,1003.2,5.92
3019112,7.59,23.43,1003.2,5.93
3029112,7.62,23.18,1003.1,5.93
3039112,7.6,23.17,1003.1,5.95
3049112,7.64,23.09,1003.2,5.98
3059112,7.64,23.24,1003.2,5.97
3069112,7.59,23.49,1003.2,5.95
3079112,7.6,23.64,1003.2,5.95
3089112,7.62,23.43,1003.1,5.95
3099112,7.63,23.05,1003.1,5.97
3109112,7.6,23.78,1003.2,5.98
3119112,7.62,23.47,1003.1,6
3129112,7.63,23.41,1003.1,6
3139112,7.66,23.74,1003.1,6.01
3149112,7.67,23.99,1003.1,6.01
3159112,7.68,23.79,1003.1,6.01
3169112,7.67,23.73,1003.1,5.97
3179112,7.68,23.76,1003.1,5.97
3189112,7.68,24.04,1003.1,5.95
3199112,7.68,23.95,1003.1,5.88
3209112,7.63,23.78,1003.1,5.85
3219112,7.6,23.51,1003.1,5.81
3229112,7.59,24.14,1003.1,5.82
3239112,7.49,24.27,1003.1,5.82
3249112,7.44,23.93,1003.1,5.85
3259112,7.44,23.76,1003.1,5.88
3269112,7.42,24.07,1003.2,5.89
3279112,7.42,23.58,1003.1,5.9
3289112,7.45,23.56,1003.1,5.9
3299112,7.46,23.64,1003.1,5.89
3309112,7.48,23.85,1003.1,5.88
3319112,7.49,23.83,1003.1,5.85
3329112,7.49,23.47,1003.1,5.82
3339112,7.5,23.64,1003.1,5.81
3349112,7.49,23.49,1003.1,5.8
3359112,7.46,23.4,1003.1,5.81
3369112,7.45,23.45,1003.1,5.85
3379112,7.44,23.56,1003.1,5.85
3389112,7.39,23.47,1003.1,5.82
3399112,7.42,23.55,1003.1,5.85
3409112,7.42,24.22,1003.1,5.82
3419112,7.42,23.95,1003.1,5.82
3429112,7.41,23.88,1003.1,5.81
3439112,7.38,24.03,1003,5.81
3449112,7.37,24.23,1003.1,5.82
3459112,7.37,24.08,1003.1,5.8
3469112,7.38,23.9,1003.1,5.71
3479112,7.44,23.69,1003.1,5.71
3489112,7.46,23.61,1003.1,5.77
3499112,7.52,23.59,1003,5.77
3509112,7.55,23.69,1003,5.78
3519112,7.56,23.67,1003.1,5.8
3529112,7.59,23.68,1003,5.8
3539112,7.59,23.74,1003,5.81
3549112,7.59,24.28,1003.1,5.81
3559112,7.56,24.33,1003,5.82
3569112,7.56,24.09,1003,5.85
3579112,7.55,24.44,1003,5.88
3589112,7.55,24.63,1003,5.89
3599112,7.5,24.94,1003,5.9
3609112,7.53,24.62,1003,5.92
3619112,7.56,24.4,1003,5.9
3629112,7.55,24.86,1003,5.86
3639112,7.45,24.66,1003,5.81
3649112,7.37,24.74,1003,5.8
3659112,7.32,24.77,1003,5.8
3669112,7.28,24.68,1003,5.77
3679112,7.28,24.6,1003,5.77
3689112,7.27,24.51,1003,5.74
3699112,7.28,24.48,1003,5.71
3709112,7.27,24.57,1003,5.67
3719112,7.28,24.62,1003,5.6
3729112,7.31,24.67,1002.9,5.56
3739112,7.3,24.57,1003,5.58
3749112,7.28,25.23,1002.9,5.56
3759112,7.31,25.38,1003,5.58
3769112,7.21,25.15,1003,5.58
3779112,7.11,25.3,1003,5.55
3789112,7.07,24.76,1002.9,5.55
3799112,7.07,25.24,1002.9,5.51
3809112,7.07,25.04,1003,5.51
3819112,7.07,24.94,1003,5.49
3829112,7.1,24.76,1002.9,5.51
3839112,7.13,24.7,1002.9,5.46
3849112,7.17,25.15,1003,5.44
3859112,7.18,25.26,1003,5.42
3869112,7.18,25.4,1003,5.41
3879112,7.15,25.44,1003,5.44
3889112,7.14,25.26,1002.9,5.45
3899112,7.13,25.17,1003,5.46
3909112,7.11,25.54,1003,5.45
3919112,7.07,25.57,1003,5.44
3929112,7.07,25.39,1003,5.42
3939112,7.08,25.17,1002.9,5.45
3949112,7.08,24.83,1003,5.44
3959112,7.11,24.88,1002.9,5.44
3969112,7.13,24.89,1003,5.41
3979112,7.1,25.74,1003,5.41
3989112,7.07,25.74,1003,5.42
3999112,7.1,25.03,1003,5.37
4009112,7.13,24.36,1003,5.35
4019112,7.11,24.59,1003,5.35
4029112,7.11,24.7,1003,5.34
4039112,7.13,24.49,1003,5.34
4049112,7.14,24.62,1003,5.35
4059112,7.15,24.71,1003,5.38
4069112,7.18,24.8,1003,5.37
4079112,7.18,24.83,1003,5.37
4089112,7.21,24.67,1003,5.35
4099112,7.22,24.91,1003,5.35
4109112,7.18,25.06,1003,5.34
4119112,7.17,25.29,1003,5.34
4129112,7.19,25.4,1003,5.33
4139112,7.19,25.23,1003,5.33
4149112,7.19,25.15,1003,5.3
4159112,7.18,25.12,1003,5.33
4169112,7.17,25.26,1003,5.3
4179112,7.17,25.34,1003,5.3
4189112,7.18,25.34,1003,5.29
4199112,7.13,25.09,1003,5.27
4209112,7.08,24.93,1003,5.29
4219112,7.07,25.05,1003,5.29
4229112,7.08,24.97,1003,5.26
4239112,7.07,24.82,1003,5.25
4249112,7.06,24.89,1003,5.22
4259112,7.07,25.12,1003,5.22
4269112,7,25.44,1003,5.23
4279112,6.97,25.45,1003,5.21
4289112,6.92,25.89,1003,5.22
4299112,6.92,25.97,1003,5.22
4309112,6.93,26.15,1003,5.22
4319112,6.95,25.8,1003,5.19
4329112,6.97,25.78,1003,5.16
4339112,7,26.51,1003,5.14
4349112,7.01,26.41,1003,5.11
4359112,7.01,26.62,1003,5.08
4369112,6.96,26.16,1003,5.07
4379112,6.89,26.21,1003,5.03
4389112,6.85,26.21,1003,4.97
4399112,6.83,26.09,1003,4.96
4409112,6.83,26.03,1003,4.94
4419112,6.88,26.28,1003,4.97
4429112,6.9,26.4,1003,5.01
4439112,6.9,26.47,1003,5.01
4449112,6.9,26.95,1003,4.98
4459112,6.9,26.72,1003,4.97
4469112,6.9,26.4,1003,4.93
4479112,6.9,26.26,1003,4.92
4489112,6.92,26.16,1003,4.9
4499112,6.92,26.2,1003,4.9
4509112,6.88,26.23,1003,4.92
4519112,6.79,26.84,1003,4.93
4529112,6.74,26.67,1003,4.96
4539112,6.67,26.6,1003,4.93
4549112,6.68,26.32,1003,4.94
4559112,6.68,26.3,1003,4.93
4569112,6.68,26.45,1003,4.92
4579112,6.66,26.63,1003,4.92
4589112,6.56,26.98,1003,4.92
4599112,6.53,26.64,1002.9,4.89
4609112,6.52,26.84,1003,4.92
4619112,6.49,26.63,1003,4.9
4629112,6.48,26.61,1003,4.87
4639112,6.51,26.39,1003,4.86
4649112,6.52,26.41,1003,4.86
4659112,6.56,26.34,1003,4.87
4669112,6.56,26.45,1003,4.9
4679112,6.58,26.92,1003,4.92
4689112,6.61,26.76,1003,4.92
4699112,6.6,26.76,1003,4.9
4709112,6.53,26.61,1003,4.89
4719112,6.51,26.86,1002.9,4.9
4729112,6.49,27.35,1003,4.93
4739112,6.48,26.8,1002.9,4.94
4749112,6.49,26.7,1002.9,4.96
4759112,6.51,26.76,1003,4.94
4769112,6.51,27.24,1003,4.97
4779112,6.48,26.82,1003,4.98
4789112,6.51,26.26,1002.9,5.01
4799112,6.51,26.07,1003,5.03
4809112,6.55,26.15,1003,5
4819112,6.56,26.03,1003,5.01
4829112,6.6,26.23,1003,4.97
4839112,6.61,26.4,1003,4.97
4849112,6.63,26.7,1003,4.96
4859112,6.61,27.18,1003,4.96
4869112,6.58,26.96,1003,4.93
4879112,6.61,26.83,1003,4.93
4889112,6.58,26.4,1003,4.94
4899112,6.61,26.46,1003,4.96
4909112,6.58,26.73,1003,4.98
4919112,6.53,26.73,1003,5
4929112,6.49,26.46,1003,5.01
4939112,6.45,26.45,1003,5.03
4949112,6.42,26.77,1003,5.03
4959112,6.36,27.45,1003,5.03
4969112,6.26,27.7,1003,5.04
4979112,6.2,27.54,1003,5
4989112,6.16,27.67,1003,4.97
4999112,6.15,27.52,1003,4.97
5009112,6.18,27.27,1003,4.97
5019112,6.19,27.16,1003,4.98
5029112,6.2,27.21,1003,5
5039112,6.18,27.21,1003,5.01
5049112,6.16,27.5,1003,5.03
5059112,6.16,27.2,1003,5.01
5069112,6.19,27.27,1003,5.03
5079112,6.2,27.91,1003,5.01
5089112,6.23,27.82,1003,5.03
5099112,6.24,27.51,1003,5.04
5109112,6.27,27.59,1003,5.05
5119112,6.27,27.53,1003,5.07
5129112,6.31,27.62,1003,5.07
5139112,6.31,27.52,1003,5.07
5149112,6.36,27.69,1003,5.1
5159112,6.34,27.75,1003,5.08
5169112,6.33,27.24,1003,5.1
5179112,6.31,28.08,1003,5.11
5189112,6.27,27.81,1003,5.11
5199112,6.24,27.8,1003,5.12
5209112,6.26,27.85,1003,5.11
5219112,6.29,27.38,1003,5.1
5229112,6.33,27.24,1003,5.03
5239112,6.37,27.03,1003,4.97
5249112,6.36,27.41,1003,4.93
5259112,6.33,27.03,1003,4.93
5269112,6.29,27.03,1003,4.93
5279112,6.27,27.07,1003,4.93
5289112,6.27,27.21,1003,4.92
5299112,6.3,27.35,1003,4.92
5309112,6.33,27.3,1003,4.9
5319112,6.33,26.84,1003,4.9
5329112,6.34,26.84,1003,4.92
5339112,6.36,26.8,1003,4.93
5349112,6.37,26.78,1003,4.92
5359112,6.38,27.01,1003,4.89
5369112,6.38,27.52,1003,4.87
5379112,6.36,27.91,1003,4.87
5389112,6.36,27.84,1003,4.83
5399112,6.36,28.3,1003,4.8
5409112,6.34,27.75,1003,4.79
5419112,6.33,28.08,1003,4.76
5429112,6.27,28.11,1003,4.76
5439112,6.19,28.18,1003,4.79
5449112,6.15,28.01,1003,4.8
5459112,6.13,28.88,1003,4.82
5469112,6.13,28.14,1003,4.83
5479112,6.11,27.79,1003,4.87
5489112,6.08,27.64,1003,4.87
5499112,6.06,27.46,1003,4.87
5509112,6.05,27.51,1003,4.87
5519112,6.05,27.51,1003,4.87
5529112,6.05,27.53,1003,4.9
5539112,6.06,27.32,1003,4.92
5549112,6.09,27.77,1003,4.92
5559112,6.12,27.95,1003,4.92
5569112,6.09,27.95,1002.9,4.93
5579112,6.08,27.88,1003,4.96
5589112,6.05,28.59,1003,4.97
5599112,6.01,28.3,1003,4.98
5609112,5.98,28.4,1003,5
5619112,5.95,28.4,1003,4.98
5629112,5.95,28.51,1003,4.97
5639112,5.98,28.59,1003,4.97
5649112,5.98,28.77,1003,4.98
5659112,5.97,28.75,1003,5.01
5669112,5.92,28.77,1003,5
5679112,5.9,29.11,1003,5.03
5689112,5.89,28.97,1003,5.01
5699112,5.88,28.8,1003,5.01
5709112,5.9,28.46,1003,5.03
5719112,5.95,28.21,1003,5.04
5729112,5.98,28.02,1003,5.05
5739112,6.01,27.77,1003,5.05
5749112,6.01,27.72,1003,5.07
5759112,6.02,27.69,1003,5.07
5769112,6.04,27.6,1003,5.1
5779112,6.05,27.53,1003,5.1
5789112,6.05,27.57,1003,5.05
5799112,6.02,27.54,1003,5.03
5809112,6,27.91,1003,5.04
5819112,5.95,27.91,1003,5.04
5829112,5.92,27.94,1003,5.03
5839112,5.97,27.91,1003,5.01
5849112,6,28.03,1003,5.01
5859112,6.01,28.11,1003,5
5869112,6.02,28.2,1003,4.98
5879112,6.02,28.13,1003,5
5889112,6.04,28.34,1003,4.97
5899112,6.04,28.13,1003,4.94
5909112,6.08,28.01,1003,4.92
5919112,6.08,28.09,1003,4.9
5929112,6.11,27.98,1003,4.9
5939112,6.13,28.51,1003,4.87
5949112,6.11,28.27,1003,4.86
5959112,6.11,28.12,1003,4.85
5969112,6.08,28.55,1003,4.87
5979112,6.08,28.32,1003,4.86
5989112,6.08,28.54,1003,4.87
5999112,6.12,28.29,1003,4.87
6009112,6.12,28.12,1003,4.9
6019112,6.12,28.05,1003,4.9
6029112,6.15,28.03,1003,4.89
6039112,6.19,30.47,1003,4.92
6049112,6.18,28.25,1003,4.89
6059112,6.16,28.03,1003,4.89
6069112,6.18,27.72,1003,4.92
6079112,6.22,27.54,1003,4.9
6089112,6.26,27.47,1003,4.87
6099112,6.29,27.36,1003,4.85
6109112,6.31,27.26,1003,4.85
6119112,6.31,27.31,1003,4.85
6129112,6.33,27.29,1003,4.86
6139112,6.3,27.36,1003,4.86
6149112,6.3,27.44,1003,4.86
6159112,6.29,28.32,1003.1,4.86
6169112,6.3,30.21,1003.1,4.87
6179112,6.31,28.62,1003,4.83
6189112,6.33,30.66,1003.1,4.85
6199112,6.33,29.6,1003,4.85
6209112,6.33,28.29,1003.1,4.85
6219112,6.34,30.29,1003.1,4.85
6229112,6.3,29.5,1003.1,4.85
6239112,6.27,28.88,1003,4.85
6249112,6.26,29.7,1003.1,4.85
6259112,6.24,28.77,1003.1,4.83
6269112,6.26,28.66,1003,4.83
6279112,6.27,28.13,1003,4.8
6289112,6.26,28.26,1003.1,4.8
6299112,6.2,29.48,1003.1,4.76
6309112,6.13,29.02,1003.1,4.75
6319112,6.11,28.95,1003.1,4.71
6329112,6.13,28.36,1003,4.74
6339112,6.13,28.18,1003,4.74
6349112,6.13,28.44,1003,4.75
6359112,6.12,28.42,1003,4.76
6369112,6.15,28.27,1003,4.76
6379112,6.15,28.12,1003.1,4.78
6389112,6.15,28.09,1003.1,4.78
6399112,6.19,27.72,1003.1,4.76
6409112,6.19,27.49,1003.1,4.76
6419112,6.2,27.45,1003,4.76
6429112,6.22,27.46,1003,4.75
6439112,6.23,27.5,1003.1,4.76
6449112,6.2,28.27,1003,4.76
6459112,6.18,27.91,1003.1,4.76
6469112,6.15,28.12,1003,4.79
6479112,6.11,29.17,1003.1,4.76
6489112,6.06,29.16,1003,4.78
6499112,6.06,29.28,1003.1,4.76
6509112,6.05,28.83,1003,4.75
6519112,6.08,29.01,1003.1,4.74
6529112,6.06,29.82,1003.1,4.71
6539112,6.05,29.92,1003.1,4.68
6549112,6.05,29.44,1003.1,4.68
6559112,6.05,29.79,1003.1,4.68
6569112,6.01,28.57,1003.1,4.71
6579112,5.98,28.36,1003.1,4.74
6589112,5.95,28.48,1003.1,4.74
6599112,5.93,29.01,1003,4.74
6609112,5.92,29.25,1003,4.74
6619112,5.93,28.97,1003.1,4.76
6629112,5.93,28.73,1003.1,4.75
6639112,5.95,28.91,1003,4.75
6649112,5.98,29.19,1003.1,4.74
6659112,5.97,29.25,1003.1,4.71
6669112,5.95,29.17,1003.1,4.68
6679112,5.95,28.85,1003.1,4.67
6689112,5.95,30.09,1003.1,4.68
6699112,5.97,29.38,1003.1,4.67
6709112,5.98,29.28,1003.1,4.68
6719112,6,29.58,1003.1,4.62
6729112,6,29.3,1003.1,4.63
6739112,6.01,29.35,1003.1,4.63
6749112,6.01,29.13,1003,4.62
6759112,6.01,29.22,1003,4.63
6769112,5.97,29.62,1003,4.66
6779112,5.97,29.78,1003,4.66
6789112,5.95,29.91,1003,4.66
6799112,5.88,29.84,1003,4.66
6809112,5.85,29.85,1003,4.68
6819112,5.81,29.79,1003,4.7
6829112,5.82,29.61,1003,4.74
6839112,5.82,29.47,1003,4.75
6849112,5.85,29.13,1003,4.71
6859112,5.88,29.17,1003,4.75
6869112,5.89,28.73,1003,4.66
6879112,5.9,28.86,1003,4.62
6889112,5.9,29.11,1003,4.6
6899112,5.89,28.41,1003,4.57
6909112,5.88,28.51,1003,4.55
6919112,5.85,28.77,1003,4.53
6929112,5.82,28.92,1003,4.53
